Word, Democrat, Republican
border,0,29,1.1290888723079915
next,0,29,1.1290888723079915
afghanistan,0,28,1.127906669674477
gop,0,28,1.127906669674477
energy,0,28,1.127906669674477
being,0,28,1.127906669674477
money,0,28,1.127906669674477
mexico,0,28,1.127906669674477
members,0,28,1.127906669674477
presidential,0,28,1.127906669674477
well,0,28,1.127906669674477
use,0,27,1.1266695856403217
right,0,27,1.1266695856403217
way,0,27,1.1266695856403217
issues,0,27,1.1266695856403217
october,0,27,1.1266695856403217
syrian,0,27,1.1266695856403217
same,0,27,1.1266695856403217
reports,0,27,1.1266695856403217
called,0,26,1.1253727499662343
win,0,26,1.1253727499662343
every,0,26,1.1253727499662343
may,0,26,1.1253727499662343
any,0,26,1.1253727499662343
make,0,25,1.1240106399660994
see,0,25,1.1240106399660994
me,0,25,1.1240106399660994
weapons,0,25,1.1240106399660994
israel,0,25,1.1240106399660994
islamic,0,25,1.1240106399660994
fighting,0,24,1.122576961245366
great,0,24,1.122576961245366
popular,0,24,1.122576961245366
lost,0,24,1.122576961245366
then,0,24,1.122576961245366
work,0,24,1.122576961245366
got,0,24,1.122576961245366
children,0,24,1.122576961245366
countries,0,24,1.122576961245366
don,0,24,1.122576961245366
planned,0,24,1.122576961245366
candidate,0,24,1.122576961245366
used,0,23,1.121064500316273
around,0,23,1.121064500316273
iran,0,23,1.121064500316273
civilians,0,23,1.121064500316273
policy,0,23,1.121064500316273
afghan,0,23,1.121064500316273
deal,0,23,1.121064500316273
republicans,0,23,1.121064500316273
your,0,23,1.121064500316273
war,0,23,1.121064500316273
days,0,23,1.121064500316273
such,0,23,1.121064500316273
four,0,23,1.121064500316273
thursday,0,22,1.119464940831075
chemical,0,22,1.119464940831075
illegal,0,22,1.119464940831075
away,0,22,1.119464940831075
notes,0,22,1.119464940831075
nation,0,22,1.119464940831075
let,0,22,1.119464940831075
number,0,21,1.1177686322251792
again,0,21,1.1177686322251792
through,0,21,1.1177686322251792
things,0,21,1.1177686322251792
iraqi,0,21,1.1177686322251792
wednesday,0,21,1.1177686322251792
long,0,21,1.1177686322251792
might,0,21,1.1177686322251792
put,0,21,1.1177686322251792
protests,0,21,1.1177686322251792
own,0,21,1.1177686322251792
bill,0,21,1.1177686322251792
world,0,21,1.1177686322251792
never,0,21,1.1177686322251792
policies,0,20,1.11596429535352
administration,0,20,1.11596429535352
three,0,20,1.11596429535352
congress,0,20,1.11596429535352
part,0,20,1.11596429535352
team,0,20,1.11596429535352
muslim,0,20,1.11596429535352
ve,0,20,1.11596429535352
men,0,20,1.11596429535352
movement,0,20,1.11596429535352
statement,0,20,1.11596429535352
few,0,20,1.11596429535352
led,0,20,1.11596429535352
reportedly,0,20,1.11596429535352
family,0,19,1.1140386436003265
took,0,19,1.1140386436003265
come,0,19,1.1140386436003265
law,0,19,1.1140386436003265
williams,0,19,1.1140386436003265
across,0,19,1.1140386436003265
committee,0,19,1.1140386436003265
secretary,0,19,1.1140386436003265
does,0,19,1.1140386436003265
want,0,19,1.1140386436003265
portland,0,19,1.1140386436003265
found,0,19,1.1140386436003265
needs,0,19,1.1140386436003265
supporters,0,19,1.1140386436003265
november,0,19,1.1140386436003265
leaders,0,19,1.1140386436003265
someone,0,18,1.1119758889341753
million,0,18,1.1119758889341753
home,0,18,1.1119758889341753
under,0,18,1.1119758889341753
attack,0,18,1.1119758889341753
white,0,18,1.1119758889341753
change,0,18,1.1119758889341753
office,0,18,1.1119758889341753
elections,0,18,1.1119758889341753
brotherhood,0,18,1.1119758889341753
week,0,18,1.1119758889341753
demonstrations,0,17,1.1097570888231767
added,0,17,1.1097570888231767
line,0,17,1.1097570888231767
international,0,17,1.1097570888231767
press,0,17,1.1097570888231767
parenthood,0,17,1.1097570888231767
really,0,17,1.1097570888231767
past,0,17,1.1097570888231767
end,0,17,1.1097570888231767
car,0,17,1.1097570888231767
majority,0,17,1.1097570888231767
least,0,17,1.1097570888231767
open,0,17,1.1097570888231767
assad,0,17,1.1097570888231767
go,0,17,1.1097570888231767
held,0,17,1.1097570888231767
security,0,17,1.1097570888231767
hope,0,17,1.1097570888231767
protesters,0,17,1.1097570888231767
mass,0,17,1.1097570888231767
east,0,17,1.1097570888231767
free,0,17,1.1097570888231767
why,0,17,1.1097570888231767
already,0,17,1.1097570888231767
came,0,17,1.1097570888231767
wrote,0,17,1.1097570888231767
agenda,0,17,1.1097570888231767
congressman,0,16,1.1073592690788645
seen,0,16,1.1073592690788645
grassroots,0,16,1.1073592690788645
cast,0,16,1.1073592690788645
themselves,0,16,1.1073592690788645
peace,0,16,1.1073592690788645
month,0,16,1.1073592690788645
especially,0,16,1.1073592690788645
less,0,16,1.1073592690788645
leadership,0,16,1.1073592690788645
electors,0,16,1.1073592690788645
air,0,16,1.1073592690788645
un,0,16,1.1073592690788645
however,0,16,1.1073592690788645
officials,0,16,1.1073592690788645
early,0,16,1.1073592690788645
schools,0,16,1.1073592690788645
